LocationID,Borough,Zone,service_zone,latitude,longitude
2,Queens,Jamaica Bay,Boro Zone,40.6257242377496,-73.82612577032016
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.86588754197535,-73.84947892385894
4,Manhattan,Alphabet City,Yellow Zone,40.7241521436721,-73.97702292193343
5,Staten Island,Arden Heights,Boro Zone,40.55034012383312,-74.18992967123748
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.59906217408018,-74.06777446074486
7,Queens,Astoria,Boro Zone,40.761084729149616,-73.92149056694781
8,Queens,Astoria Park,Boro Zone,40.778606961768226,-73.92320240928667
9,Queens,Auburndale,Boro Zone,40.75441092711013,-73.78802024874037
10,Queens,Baisley Park,Boro Zone,40.67812470312182,-73.79166545789035
11,Brooklyn,Bath Beach,Boro Zone,40.60397770880832,-74.01061563053632
12,Manhattan,Battery Park,Yellow Zone,40.70248841354346,-74.01549032921515
13,Manhattan,Battery Park City,Yellow Zone,40.71161208311675,-74.01611966928331
14,Brooklyn,Bay Ridge,Boro Zone,40.623584279309775,-74.03044705082972
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.78521950064574,-73.78797108474393
16,Queens,Bayside,Boro Zone,40.7612088345014,-73.77166782211667
17,Brooklyn,Bedford,Boro Zone,40.69199409627453,-73.94918130103815
18,Bronx,Bedford Park,Boro Zone,40.86876288198965,-73.88692199485578
19,Queens,Bellerose,Boro Zone,40.73647243913749,-73.72786939615672
20,Bronx,Belmont,Boro Zone,40.85777311425438,-73.88603484053465
21,Brooklyn,Bensonhurst East,Boro Zone,40.60204898400918,-73.98130072597267
22,Brooklyn,Bensonhurst West,Boro Zone,40.6096273400193,-73.99429701500517
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.607504219540004,-74.15944328756373
24,Manhattan,Bloomingdale,Yellow Zone,40.80203277299443,-73.96556852909372
25,Brooklyn,Boerum Hill,Boro Zone,40.68561458946324,-73.98645898767131
26,Brooklyn,Borough Park,Boro Zone,40.62861224058437,-73.98956040655298
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.558950091924245,-73.90978119781074
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.71085278175614,-73.8073290840499
29,Brooklyn,Brighton Beach,Boro Zone,40.58219554657063,-73.96057984811755
30,Queens,Broad Channel,Boro Zone,40.604872183789546,-73.82009754648027
31,Bronx,Bronx Park,Boro Zone,40.85992052114,-73.87572204529508
32,Bronx,Bronxdale,Boro Zone,40.86445170642437,-73.86462414083114
33,Brooklyn,Brooklyn Heights,Boro Zone,40.69623832706206,-73.99532879720404
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.70255903810122,-73.96769896867612
35,Brooklyn,Brownsville,Boro Zone,40.66380982261797,-73.91248148827769
36,Brooklyn,Bushwick North,Boro Zone,40.69908473807881,-73.91656398027722
37,Brooklyn,Bushwick South,Boro Zone,40.69626745249633,-73.92594836344831
38,Queens,Cambria Heights,Boro Zone,40.69329557043152,-73.73554955854607
39,Brooklyn,Canarsie,Boro Zone,40.638878929923884,-73.89977387195219
40,Brooklyn,Carroll Gardens,Boro Zone,40.67850422309315,-73.99581808190935
41,Manhattan,Central Harlem,Boro Zone,40.80420482862963,-73.95206533089235
42,Manhattan,Central Harlem North,Boro Zone,40.8210462140977,-73.93951646931629
43,Manhattan,Central Park,Yellow Zone,40.782459738636334,-73.96557217995945
44,Staten Island,Charleston/Tottenville,Boro Zone,40.52729817500192,-74.22954654578439
45,Manhattan,Chinatown,Yellow Zone,40.71305782758265,-73.99825262137996
46,Bronx,City Island,Boro Zone,40.84749989848781,-73.7864863118312
47,Bronx,Claremont/Bathgate,Boro Zone,40.84575494537207,-73.8969291492323
48,Manhattan,Clinton East,Yellow Zone,40.76223675561455,-73.98985665083148
49,Brooklyn,Clinton Hill,Boro Zone,40.68851587525022,-73.96493373164766
50,Manhattan,Clinton West,Yellow Zone,40.76669237466818,-73.99389940332091
51,Bronx,Co-Op City,Boro Zone,40.87406155090897,-73.83042363189686
52,Brooklyn,Cobble Hill,Boro Zone,40.68660454176571,-73.99692247138664
53,Queens,College Point,Boro Zone,40.78198795842944,-73.8440703458848
54,Brooklyn,Columbia Street,Boro Zone,40.68613527817663,-74.00332901607658
55,Brooklyn,Coney Island,Boro Zone,40.576899619854785,-73.99047413955634
56,Queens,Corona,Boro Zone,40.74159861550134,-73.85905335346229
57,Queens,Corona,Boro Zone,40.75231603920503,-73.85338447485452
58,Bronx,Country Club,Boro Zone,40.841475498755884,-73.820705382297
59,Bronx,Crotona Park,Boro Zone,40.838859990597136,-73.89307443383376
60,Bronx,Crotona Park East,Boro Zone,40.83129411878886,-73.8897822026554
61,Brooklyn,Crown Heights North,Boro Zone,40.67384284613155,-73.94128202922141
62,Brooklyn,Crown Heights South,Boro Zone,40.66708956072654,-73.94926996707466
63,Brooklyn,Cypress Hills,Boro Zone,40.68481019470613,-73.87767643237912
64,Queens,Douglaston,Boro Zone,40.7606312760349,-73.73139216250836
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,40.69537260932935,-73.98557106353522
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,40.701732471689205,-73.98638274755488
67,Brooklyn,Dyker Heights,Boro Zone,40.61845440722056,-74.01473587119294
68,Manhattan,East Chelsea,Yellow Zone,40.748397224832,-73.99994015650746
69,Bronx,East Concourse/Concourse Village,Boro Zone,40.83060767761216,-73.91536622023375
70,Queens,East Elmhurst,Boro Zone,40.76394782032506,-73.8684029143644
71,Brooklyn,East Flatbush/Farragut,Boro Zone,40.643928519279285,-73.9377345201576
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,40.652460631186095,-73.92021005488292
73,Queens,East Flushing,Boro Zone,40.75369748694582,-73.80658433314609
74,Manhattan,East Harlem North,Boro Zone,40.805565565474986,-73.93831049684607
75,Manhattan,East Harlem South,Boro Zone,40.79065015976478,-73.94495666768462
